"No.","Time","Source","Destination","Protocol","Length","Info"
"55","3.015105","52.123.171.42","192.168.0.185","TLSv1.2","93","Application Data"
"56","3.061085","192.168.0.185","52.123.171.42","TCP","54","53272  >  443 [ACK] Seq=51 Ack=40 Win=511 Len=0"
"57","3.388933","192.168.0.185","142.250.183.142","UDP","71","56172  >  443 Len=29"
"58","3.404619","142.250.183.142","192.168.0.185","UDP","68","443  >  56172 Len=26"
"59","4.169882","192.168.0.185","104.125.221.232","TLSv1.2","384","Application Data"
"60","4.170043","192.168.0.185","104.125.221.232","TLSv1.2","317","Application Data"
"61","4.181511","104.125.221.232","192.168.0.185","TCP","54","443  >  53646 [ACK] Seq=5741 Ack=1206 Win=64128 Len=0"
"62","4.188713","104.125.221.232","192.168.0.185","TLSv1.2","711","Application Data"
"63","4.238790","192.168.0.185","104.125.221.232","TCP","54","53646  >  443 [ACK] Seq=1206 Ack=6398 Win=131584 Len=0"
"64","4.267537","192.168.0.185","104.125.221.232","TCP","54","53646  >  443 [RST, ACK] Seq=1206 Ack=6398 Win=0 Len=0"
"65","4.735639","192.168.0.185","104.125.221.232","TCP","66","53647  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"66","4.747240","104.125.221.232","192.168.0.185","TCP","66","443  >  53647 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1440 SACK_PERM WS=128"
"67","4.747332","192.168.0.185","104.125.221.232","TCP","54","53647  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0"
"68","4.749059","192.168.0.185","104.125.221.232","TLSv1.2","251","Client Hello (SNI=storeedgefd.dsx.mp.microsoft.com)"
"69","4.751645","104.125.221.232","192.168.0.185","TCP","54","443  >  53647 [ACK] Seq=1 Ack=198 Win=64128 Len=0"
"70","4.752535","104.125.221.232","192.168.0.185","TLSv1.2","2934","Server Hello"
"71","4.752535","104.125.221.232","192.168.0.185","TLSv1.2","1270","Certificate, Certificate Status"
"72","4.752535","104.125.221.232","192.168.0.185","TLSv1.2","175","Server Key Exchange, Server Hello Done"
"73","4.752603","192.168.0.185","104.125.221.232","TCP","54","53647  >  443 [ACK] Seq=198 Ack=4218 Win=132352 Len=0"
"74","4.755290","192.168.0.185","104.125.221.232","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"75","4.758550","104.125.221.232","192.168.0.185","TLSv1.2","328","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"76","4.779013","192.168.0.185","104.125.221.232","TLSv1.2","343","Application Data"
"77","4.787862","104.125.221.232","192.168.0.185","TLSv1.2","1301","Application Data"
"78","4.831349","192.168.0.185","104.125.221.232","TCP","54","53647  >  443 [ACK] Seq=613 Ack=5739 Win=132352 Len=0"
"79","5.474349","142.251.223.10","192.168.0.185","UDP","119","443  >  55190 Len=77"
"80","5.474349","142.251.223.10","192.168.0.185","UDP","119","443  >  55190 Len=77"
"81","5.474951","192.168.0.185","142.251.223.10","UDP","76","55190  >  443 Len=34"
"82","5.674935","192.168.0.185","142.251.223.10","UDP","71","55190  >  443 Len=29"
"83","5.680678","142.251.223.10","192.168.0.185","UDP","67","443  >  55190 Len=25"
"84","5.705181","192.168.0.185","192.168.0.215","TCP","164","53355  >  8009 [PSH, ACK] Seq=111 Ack=111 Win=509 Len=110 [TCP PDU reassembled in 2095]"
"85","5.708683","192.168.0.215","192.168.0.185","TCP","164","8009  >  53355 [PSH, ACK] Seq=111 Ack=221 Win=1253 Len=110 [TCP PDU reassembled in 2096]"
"86","5.751058","192.168.0.185","192.168.0.215","TCP","54","53355  >  8009 [ACK] Seq=221 Ack=221 Win=509 Len=0"
"87","5.891907","192.168.0.185","142.251.223.10","UDP","71","55190  >  443 Len=29"
"88","5.905162","142.251.223.10","192.168.0.185","UDP","67","443  >  55190 Len=25"
"89","6.109845","192.168.0.185","142.251.223.10","UDP","71","55190  >  443 Len=29"
"90","6.122563","142.251.223.10","192.168.0.185","UDP","67","443  >  55190 Len=25"
"91","6.234584","192.168.0.185","104.125.221.232","TLSv1.2","384","Application Data"
"92","6.234779","192.168.0.185","104.125.221.232","TLSv1.2","317","Application Data"
"93","6.245824","104.125.221.232","192.168.0.185","TCP","54","443  >  53647 [ACK] Seq=5739 Ack=1206 Win=64128 Len=0"
"94","6.254074","104.125.221.232","192.168.0.185","TLSv1.2","711","Application Data"
"95","6.297341","192.168.0.185","104.125.221.232","TCP","54","53647  >  443 [ACK] Seq=1206 Ack=6396 Win=131584 Len=0"
"96","6.322562","192.168.0.185","104.125.221.232","TCP","54","53647  >  443 [RST, ACK] Seq=1206 Ack=6396 Win=0 Len=0"
"97","6.329279","192.168.0.185","142.251.223.10","UDP","71","55190  >  443 Len=29"
"98","6.335419","142.251.223.10","192.168.0.185","UDP","67","443  >  55190 Len=25"
"99","6.543924","192.168.0.185","142.251.223.10","UDP","71","55190  >  443 Len=29"
"100","6.554053","142.250.183.142","192.168.0.185","UDP","79","443  >  56172 Len=37"
"101","6.554053","142.250.183.142","192.168.0.185","UDP","79","443  >  56172 Len=37"
"102","6.554421","192.168.0.185","142.250.183.142","UDP","76","56172  >  443 Len=34"
"103","6.557086","142.251.223.10","192.168.0.185","UDP","67","443  >  55190 Len=25"
"104","6.764185","192.168.0.185","142.250.183.142","UDP","71","56172  >  443 Len=29"
"105","6.766269","192.168.0.185","142.251.223.10","UDP","71","55190  >  443 Len=29"
"106","6.777119","142.250.183.142","192.168.0.185","UDP","68","443  >  56172 Len=26"
"107","6.778379","142.251.223.10","192.168.0.185","UDP","67","443  >  55190 Len=25"
"109","6.983564","192.168.0.185","142.250.183.142","UDP","71","56172  >  443 Len=29"
"110","6.996045","142.250.183.142","192.168.0.185","UDP","68","443  >  56172 Len=26"
"111","7.170143","192.168.0.185","142.251.221.110","UDP","71","62001  >  443 Len=29"
"112","7.183574","142.251.221.110","192.168.0.185","UDP","68","443  >  62001 Len=26"
"113","7.184130","192.168.0.185","142.251.223.10","UDP","71","55190  >  443 Len=29"
"114","7.188538","142.251.223.10","192.168.0.185","UDP","67","443  >  55190 Len=25"
"115","7.202267","192.168.0.185","142.250.183.142","UDP","71","56172  >  443 Len=29"
"116","7.207724","142.250.183.142","192.168.0.185","UDP","68","443  >  56172 Len=26"
"117","7.420765","192.168.0.185","142.250.183.142","UDP","71","56172  >  443 Len=29"
"118","7.434310","142.250.183.142","192.168.0.185","UDP","68","443  >  56172 Len=26"
"119","7.638604","192.168.0.185","142.250.183.142","UDP","71","56172  >  443 Len=29"
"120","7.651732","142.250.183.142","192.168.0.185","UDP","68","443  >  56172 Len=26"
"122","7.828571","142.251.221.170","192.168.0.185","UDP","201","443  >  57261 Len=159"
"123","7.828571","142.251.221.170","192.168.0.185","UDP","64","443  >  57261 Len=22"
"124","7.835527","192.168.0.185","142.251.221.170","UDP","75","57261  >  443 Len=33"
"125","7.853486","192.168.0.185","142.250.183.142","UDP","71","56172  >  443 Len=29"
"126","7.854846","192.168.0.185","192.168.0.1","DNS","91","Standard query 0x2624 A signaler-pa.clients6.google.com"
"127","7.855479","192.168.0.185","192.168.0.1","DNS","91","Standard query 0x93f4 HTTPS signaler-pa.clients6.google.com"
"128","7.861117","192.168.0.1","192.168.0.185","DNS","107","Standard query response 0x2624 A signaler-pa.clients6.google.com A 142.250.77.106"
"129","7.861117","192.168.0.1","192.168.0.185","DNS","141","Standard query response 0x93f4 HTTPS signaler-pa.clients6.google.com SOA ns1.google.com"
"130","7.861227","142.250.183.142","192.168.0.185","UDP","68","443  >  56172 Len=26"
"131","7.863114","192.168.0.185","142.250.77.106","QUIC","1292","Initial, DCID=3d9b816aa7a106c2, PKN: 1, PING, CRYPTO, PING, PING, PING, CRYPTO, CRYPTO, CRYPTO, PING, PADDING, PING"
"132","7.863233","192.168.0.185","142.250.77.106","QUIC","1292","Initial, DCID=3d9b816aa7a106c2, PKN: 2, CRYPTO, PADDING, PING, CRYPTO, PING, PING, PING, CRYPTO, CRYPTO, CRYPTO, PING"
"133","7.863492","192.168.0.185","142.250.77.106","QUIC","121","0-RTT, DCID=3d9b816aa7a106c2"
"134","7.864479","192.168.0.185","142.250.77.106","QUIC","571","0-RTT, DCID=3d9b816aa7a106c2"
"135","7.866872","142.250.77.106","192.168.0.185","QUIC","82","Initial, SCID=fd9b816aa7a106c2, PKN: 1, ACK"
"136","7.866872","142.250.77.106","192.168.0.185","QUIC","1292","Initial, SCID=fd9b816aa7a106c2, PKN: 2, ACK, PADDING"
"137","7.886260","192.168.0.185","142.250.77.106","QUIC","1292","Initial, DCID=fd9b816aa7a106c2, PKN: 6, PADDING, PING, PADDING"
"138","7.890302","142.250.77.106","192.168.0.185","QUIC","1292","Initial, SCID=fd9b816aa7a106c2, PKN: 3, ACK, PADDING"
"139","7.901575","142.250.77.106","192.168.0.185","QUIC","1292","Initial, SCID=fd9b816aa7a106c2, PKN: 4, CRYPTO, PADDING"
"140","7.901575","142.250.77.106","192.168.0.185","QUIC","350","Protected Payload (KP0)"
"141","7.901575","142.250.77.106","192.168.0.185","QUIC","984","Protected Payload (KP0)"
"142","7.901575","142.250.77.106","192.168.0.185","QUIC","99","Protected Payload (KP0)"
"143","7.901575","142.250.77.106","192.168.0.185","QUIC","66","Protected Payload (KP0)"
"144","7.901716","192.168.0.185","142.250.77.106","QUIC","1292","Initial, DCID=fd9b816aa7a106c2, PKN: 8, PADDING, PING, PADDING"
"145","7.902791","192.168.0.185","142.250.77.106","QUIC","120","Handshake, DCID=fd9b816aa7a106c2"
"146","7.902935","192.168.0.185","142.250.77.106","QUIC","73","Protected Payload (KP0), DCID=fd9b816aa7a106c2"
"147","7.905004","142.250.77.106","192.168.0.185","QUIC","1292","Initial, SCID=fd9b816aa7a106c2, PKN: 10, ACK, CRYPTO, PADDING"
"148","7.905004","142.250.77.106","192.168.0.185","QUIC","355","Protected Payload (KP0)"
"149","7.905537","192.168.0.185","142.250.77.106","QUIC","155","Protected Payload (KP0), DCID=fd9b816aa7a106c2"
"150","7.906082","142.250.77.106","192.168.0.185","QUIC","162","Protected Payload (KP0)"
"151","7.906290","192.168.0.185","142.250.77.106","QUIC","75","Protected Payload (KP0), DCID=fd9b816aa7a106c2"
"152","7.994106","192.168.0.185","142.251.223.10","UDP","71","55190  >  443 Len=29"
"153","8.006738","142.251.223.10","192.168.0.185","UDP","67","443  >  55190 Len=25"
"154","8.120482","192.168.0.185","142.250.77.106","QUIC","71","Protected Payload (KP0), DCID=fd9b816aa7a106c2"
"155","8.132190","142.250.77.106","192.168.0.185","QUIC","69","Protected Payload (KP0)"
"156","8.151449","142.250.77.106","192.168.0.185","QUIC","241","Protected Payload (KP0)"
"157","8.151880","142.250.77.106","192.168.0.185","QUIC","63","Protected Payload (KP0)"
"158","8.152203","192.168.0.185","142.250.77.106","QUIC","77","Protected Payload (KP0), DCID=fd9b816aa7a106c2"
"159","8.155653","192.168.0.185","142.251.221.170","UDP","566","57261  >  443 Len=524"
"160","8.160060","142.251.221.170","192.168.0.185","UDP","71","443  >  57261 Len=29"
"161","8.166966","192.168.0.185","142.251.221.170","UDP","75","57261  >  443 Len=33"
"162","8.198538","192.168.0.185","142.250.77.106","QUIC","72","Protected Payload (KP0), DCID=fd9b816aa7a106c2"
"163","8.211092","142.250.77.106","192.168.0.185","QUIC","66","Protected Payload (KP0)"
"164","8.211092","142.250.77.106","192.168.0.185","QUIC","67","Protected Payload (KP0)"
"165","8.277514","192.168.0.185","142.250.183.142","UDP","71","56172  >  443 Len=29"
"166","8.290514","142.250.183.142","192.168.0.185","UDP","68","443  >  56172 Len=26"
"167","8.371689","192.168.0.185","142.251.221.170","UDP","71","57261  >  443 Len=29"
"168","8.384516","142.251.221.170","192.168.0.185","UDP","67","443  >  57261 Len=25"
"169","8.418885","142.251.221.170","192.168.0.185","UDP","135","443  >  57261 Len=93"
"170","8.420410","192.168.0.185","142.251.221.170","UDP","79","57261  >  443 Len=37"
"171","8.425398","142.251.221.170","192.168.0.185","UDP","67","443  >  57261 Len=25"
"172","8.637467","192.168.0.185","142.251.221.170","UDP","71","57261  >  443 Len=29"
"173","8.649367","142.251.221.170","192.168.0.185","UDP","67","443  >  57261 Len=25"
"174","8.853779","192.168.0.185","142.251.221.170","UDP","71","57261  >  443 Len=29"
"175","8.858014","142.251.221.170","192.168.0.185","UDP","67","443  >  57261 Len=25"
"176","9.073015","192.168.0.185","142.251.221.170","UDP","71","57261  >  443 Len=29"
"177","9.086128","142.251.221.170","192.168.0.185","UDP","67","443  >  57261 Len=25"
"178","9.104647","192.168.0.185","142.250.183.142","UDP","71","56172  >  443 Len=29"
"179","9.108833","142.250.183.142","192.168.0.185","UDP","68","443  >  56172 Len=26"
"180","9.294846","192.168.0.185","142.251.221.170","UDP","71","57261  >  443 Len=29"
"181","9.307150","142.251.221.170","192.168.0.185","UDP","67","443  >  57261 Len=25"
"182","9.467368","3.111.224.186","192.168.0.185","TCP","54","443  >  53639 [ACK] Seq=1 Ack=1 Win=9 Len=0"
"183","9.467423","192.168.0.185","3.111.224.186","TCP","54","[TCP ACKed unseen segment] 53639  >  443 [ACK] Seq=1 Ack=2 Win=515 Len=0"
"184","9.515840","192.168.0.185","142.251.221.170","UDP","71","57261  >  443 Len=29"
"185","9.528631","142.251.221.170","192.168.0.185","UDP","67","443  >  57261 Len=25"
"186","9.610399","192.168.0.185","142.251.223.10","UDP","71","55190  >  443 Len=29"
"187","9.623619","142.251.223.10","192.168.0.185","UDP","67","443  >  55190 Len=25"
"188","9.737374","192.168.0.185","142.251.221.170","UDP","71","57261  >  443 Len=29"
"189","9.749540","142.251.221.170","192.168.0.185","UDP","67","443  >  57261 Len=25"
"190","9.905877","192.168.0.185","104.125.221.232","TCP","66","53648  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"191","9.916642","104.125.221.232","192.168.0.185","TCP","66","443  >  53648 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1440 SACK_PERM WS=128"
"192","9.916754","192.168.0.185","104.125.221.232","TCP","54","53648  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0"
"193","9.918888","192.168.0.185","104.125.221.232","TLSv1.2","251","Client Hello (SNI=storeedgefd.dsx.mp.microsoft.com)"
"194","9.921096","104.125.221.232","192.168.0.185","TCP","54","443  >  53648 [ACK] Seq=1 Ack=198 Win=64128 Len=0"
"195","9.921910","104.125.221.232","192.168.0.185","TLSv1.2","2934","Server Hello"
"196","9.921958","192.168.0.185","104.125.221.232","TCP","54","53648  >  443 [ACK] Seq=198 Ack=2881 Win=132352 Len=0"
"197","9.922036","104.125.221.232","192.168.0.185","TLSv1.2","1270","Certificate, Certificate Status"
"198","9.922036","104.125.221.232","192.168.0.185","TLSv1.2","176","Server Key Exchange, Server Hello Done"
"199","9.922086","192.168.0.185","104.125.221.232","TCP","54","53648  >  443 [ACK] Seq=198 Ack=4219 Win=131072 Len=0"
"200","9.926156","192.168.0.185","104.125.221.232","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"201","9.929753","104.125.221.232","192.168.0.185","TLSv1.2","328","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"202","9.949941","192.168.0.185","104.125.221.232","TLSv1.2","343","Application Data"
"203","10.080582","104.125.221.232","192.168.0.185","TLSv1.2","1301","Application Data"
"204","10.128877","192.168.0.185","104.125.221.232","TCP","54","53648  >  443 [ACK] Seq=613 Ack=5740 Win=131072 Len=0"
"205","10.160656","192.168.0.185","142.251.221.170","UDP","71","57261  >  443 Len=29"
"206","10.173244","142.251.221.170","192.168.0.185","UDP","67","443  >  57261 Len=25"
"207","10.430958","192.168.0.185","142.250.195.163","QUIC","1292","Initial, DCID=c8be8e299bedcd40, PKN: 1, PADDING, PING, PING, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, PING, PING, CRYPTO, PADDING, CRYPTO, CRYPTO"
"208","10.432178","192.168.0.185","142.250.195.163","QUIC","1292","Initial, DCID=c8be8e299bedcd40, PKN: 2, CRYPTO"
"209","10.432760","192.168.0.185","142.250.195.163","QUIC","1292","Initial, DCID=c8be8e299bedcd40, PKN: 3, PING, PING, PADDING, CRYPTO, PADDING, PING, PADDING, PING, PING, PADDING, PING, PING, PING, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, PING, CRYPTO, PADDING"
"210","10.433260","192.168.0.185","142.250.195.163","QUIC","122","0-RTT, DCID=c8be8e299bedcd40"
"211","10.433776","192.168.0.185","142.250.195.163","QUIC","834","0-RTT, DCID=c8be8e299bedcd40"
"212","10.442559","142.250.195.163","192.168.0.185","QUIC","82","Initial, SCID=e8be8e299bedcd40, PKN: 1, ACK"
"213","10.442559","142.250.195.163","192.168.0.185","QUIC","82","Initial, SCID=e8be8e299bedcd40, PKN: 2, ACK"
"214","10.442559","142.250.195.163","192.168.0.185","QUIC","1292","Initial, SCID=e8be8e299bedcd40, PKN: 3, ACK, PADDING"
"215","10.442559","142.250.195.163","192.168.0.185","QUIC","1292","Initial, SCID=e8be8e299bedcd40, PKN: 4, ACK, PADDING"
"216","10.456788","192.168.0.185","148.113.9.58","TCP","55","[TCP Keep-Alive] 53260  >  443 [ACK] Seq=1 Ack=1 Win=514 Len=1"
"217","10.456787","192.168.0.185","172.64.155.209","TCP","55","53638  >  443 [ACK] Seq=1 Ack=1 Win=510 Len=1"
"218","10.457003","192.168.0.185","142.250.195.163","QUIC","1292","Initial, DCID=e8be8e299bedcd40, PKN: 7, PADDING, PING, PADDING"
"219","10.459610","142.250.195.163","192.168.0.185","QUIC","1292","Initial, SCID=e8be8e299bedcd40, PKN: 5, ACK, PADDING"
"220","10.460840","172.64.155.209","192.168.0.185","TCP","66","443  >  53638 [ACK] Seq=1 Ack=2 Win=10 Len=0 SLE=1 SRE=2"
"221","10.476986","142.250.195.163","192.168.0.185","QUIC","1292","Initial, SCID=e8be8e299bedcd40, PKN: 6, CRYPTO, PADDING"
"222","10.476986","142.250.195.163","192.168.0.185","QUIC","335","Protected Payload (KP0)"
"223","10.477751","192.168.0.185","142.250.195.163","QUIC","120","Handshake, DCID=e8be8e299bedcd40"
"224","10.488521","142.250.195.163","192.168.0.185","QUIC","986","Protected Payload (KP0)"
"225","10.488521","142.250.195.163","192.168.0.185","QUIC","67","Protected Payload (KP0)"
"226","10.488521","142.250.195.163","192.168.0.185","QUIC","64","Protected Payload (KP0)"
"227","10.488521","148.113.9.58","192.168.0.185","TCP","66","[TCP Keep-Alive ACK] 443  >  53260 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"228","10.488521","142.250.195.163","192.168.0.185","QUIC","162","Protected Payload (KP0)"
"229","10.488949","192.168.0.185","142.250.195.163","QUIC","73","Protected Payload (KP0), DCID=e8be8e299bedcd40"
"230","10.489150","192.168.0.185","142.250.195.163","QUIC","73","Protected Payload (KP0), DCID=e8be8e299bedcd40"
"231","10.551128","192.168.0.185","3.111.224.186","TCP","55","[TCP Keep-Alive] 53639  >  443 [ACK] Seq=0 Ack=2 Win=515 Len=1"
"232","10.562046","142.250.195.163","192.168.0.185","QUIC","577","Protected Payload (KP0)"
"233","10.562046","142.250.195.163","192.168.0.185","QUIC","64","Protected Payload (KP0)"
"234","10.562046","142.250.195.163","192.168.0.185","QUIC","577","Protected Payload (KP0)"
"235","10.565196","192.168.0.185","142.250.195.163","QUIC","77","Protected Payload (KP0), DCID=e8be8e299bedcd40"
"236","10.565703","192.168.0.185","142.250.195.163","QUIC","75","Protected Payload (KP0), DCID=e8be8e299bedcd40"
"237","10.568352","142.250.195.163","192.168.0.185","QUIC","67","Protected Payload (KP0)"
"238","10.579279","3.111.224.186","192.168.0.185","TCP","66","[TCP Previous segment not captured] 443  >  53639 [ACK] Seq=2 Ack=1 Win=9 Len=0 SLE=0 SRE=1"
"239","10.717871","192.168.0.185","142.250.183.142","UDP","71","56172  >  443 Len=29"
"240","10.718162","192.168.0.185","192.168.0.215","TCP","164","53355  >  8009 [PSH, ACK] Seq=221 Ack=221 Win=509 Len=110 [TCP PDU reassembled in 2095]"
"241","10.728788","192.168.0.215","192.168.0.185","TCP","164","8009  >  53355 [PSH, ACK] Seq=221 Ack=331 Win=1253 Len=110 [TCP PDU reassembled in 2096]"
"242","10.730116","142.250.183.142","192.168.0.185","UDP","68","443  >  56172 Len=26"
"243","10.779891","192.168.0.185","192.168.0.215","TCP","54","53355  >  8009 [ACK] Seq=331 Ack=331 Win=508 Len=0"
"244","10.982450","192.168.0.185","142.251.221.170","UDP","71","57261  >  443 Len=29"
"245","10.997671","142.251.221.170","192.168.0.185","UDP","67","443  >  57261 Len=25"
"246","11.480853","192.168.0.185","104.125.221.232","TLSv1.2","384","Application Data"
"247","11.481373","192.168.0.185","104.125.221.232","TLSv1.2","288","Application Data"
