protocol,packet_size,cpu,memory,label
TCP,170,0.0,88.0,normal
TCP,67,0.0,88.0,normal
TCP,427,25.0,88.0,normal
ICMP,327,0.0,88.0,normal
ICMP,403,0.0,88.0,normal
TCP,156,0.0,88.0,normal
UDP,184,0.0,88.0,normal
ICMP,358,0.0,88.0,normal
TCP,81,0.0,88.0,normal
ICMP,345,100.0,88.0,normal
TCP,107,0.0,88.0,normal
TCP,399,0.0,88.0,normal
UDP,213,0.0,88.0,normal
UDP,58,0.0,88.0,normal
UDP,281,0.0,88.0,normal
ICMP,68,0.0,88.0,normal
TCP,292,0.0,88.0,normal
TCP,404,0.0,88.0,normal
TCP,146,0.0,88.0,normal
ICMP,314,0.0,88.0,normal
UDP,132,0.0,88.0,normal
TCP,193,0.0,88.0,normal
ICMP,109,0.0,88.0,normal
TCP,256,0.0,88.0,normal
TCP,383,0.0,88.0,normal
TCP,117,0.0,88.0,normal
TCP,422,0.0,88.0,normal
TCP,174,0.0,88.0,normal
UDP,328,0.0,88.0,normal
ICMP,124,0.0,88.0,normal
UDP,176,0.0,88.0,normal
TCP,320,0.0,88.0,normal
ICMP,301,0.0,88.0,normal
UDP,230,0.0,88.0,normal
TCP,140,0.0,88.0,normal
ICMP,240,0.0,88.0,normal
UDP,79,0.0,88.0,normal
UDP,437,0.0,88.0,normal
ICMP,125,0.0,88.0,normal
UDP,224,0.0,88.0,normal
ICMP,474,0.0,88.0,normal
UDP,494,0.0,88.0,normal
ICMP,94,0.0,88.0,normal
TCP,433,0.0,88.0,normal
UDP,132,0.0,88.0,normal
TCP,351,0.0,88.0,normal
UDP,445,0.0,88.0,normal
ICMP,61,0.0,88.0,normal
TCP,172,0.0,88.0,normal
ICMP,143,25.0,88.0,normal
UDP,217,0.0,88.0,normal
TCP,314,0.0,88.0,normal
TCP,200,0.0,88.0,normal
TCP,56,0.0,88.0,normal
UDP,215,0.0,88.0,normal
TCP,436,0.0,88.0,normal
TCP,310,0.0,88.0,normal
ICMP,455,0.0,88.0,normal
ICMP,295,25.0,88.0,normal
TCP,68,0.0,88.0,normal
TCP,405,0.0,88.0,normal
TCP,316,0.0,88.0,normal
UDP,219,0.0,88.0,normal
ICMP,127,0.0,88.0,normal
ICMP,345,0.0,88.0,normal
TCP,150,0.0,88.0,normal
UDP,88,0.0,88.0,normal
TCP,68,0.0,88.0,normal
UDP,100,0.0,88.0,normal
ICMP,177,0.0,88.0,normal
TCP,87,0.0,88.0,normal
UDP,361,0.0,88.0,normal
TCP,245,0.0,88.0,normal
UDP,106,0.0,88.0,normal
UDP,374,0.0,88.0,normal
TCP,232,0.0,88.0,normal
UDP,268,0.0,88.0,normal
ICMP,342,0.0,88.0,normal
UDP,315,0.0,88.0,normal
TCP,485,0.0,88.0,normal
UDP,364,0.0,88.0,normal
ICMP,446,0.0,88.0,normal
TCP,213,0.0,88.0,normal
UDP,336,0.0,88.0,normal
ICMP,370,0.0,88.0,normal
UDP,196,0.0,88.0,normal
UDP,1237,0.0,88.0,ddos
UDP,1253,0.0,88.0,ddos
UDP,1343,0.0,88.0,ddos
UDP,1170,0.0,88.0,ddos
UDP,1169,0.0,88.0,ddos
UDP,1381,0.0,88.0,ddos
UDP,1020,0.0,88.0,ddos
UDP,1254,0.0,88.0,ddos
UDP,1188,0.0,88.0,ddos
UDP,1090,0.0,88.0,ddos
UDP,1175,0.0,88.0,ddos
UDP,1310,0.0,88.0,ddos
UDP,1161,0.0,88.0,ddos
UDP,1042,0.0,88.0,ddos
UDP,1165,0.0,88.0,ddos
UDP,1225,0.0,88.0,ddos
UDP,1449,0.0,88.0,ddos
UDP,1499,0.0,88.0,ddos
UDP,1219,0.0,88.0,ddos
UDP,1191,20.0,88.0,ddos
UDP,1182,0.0,88.0,ddos
UDP,1114,0.0,88.0,ddos
UDP,1243,0.0,88.0,ddos
UDP,1383,0.0,88.0,ddos
UDP,1428,0.0,88.0,ddos
UDP,1264,0.0,88.0,ddos
UDP,1091,0.0,88.0,ddos
UDP,1436,0.0,88.0,ddos
UDP,1403,0.0,88.0,ddos
UDP,1243,0.0,88.0,ddos
UDP,1195,0.0,88.0,ddos
UDP,1356,0.0,88.0,ddos
UDP,1007,0.0,88.0,ddos
UDP,1370,0.0,88.0,ddos
UDP,1194,0.0,88.0,ddos
UDP,1159,0.0,88.0,ddos
UDP,1191,0.0,88.0,ddos
UDP,1157,0.0,88.0,ddos
UDP,1020,0.0,88.0,ddos
UDP,1015,0.0,88.0,ddos
UDP,1097,0.0,88.0,ddos
UDP,1268,0.0,88.0,ddos
UDP,1253,0.0,88.0,ddos
UDP,1446,0.0,88.0,ddos
UDP,1241,0.0,88.0,ddos
UDP,1405,0.0,88.0,ddos
UDP,1122,0.0,88.0,ddos
UDP,1048,0.0,88.0,ddos
UDP,1045,0.0,88.0,ddos
UDP,1048,0.0,88.0,ddos
UDP,1420,0.0,88.0,ddos
UDP,1215,0.0,88.0,ddos
UDP,1159,0.0,88.0,ddos
UDP,1340,0.0,88.0,ddos
UDP,1091,0.0,88.0,ddos
UDP,1366,0.0,88.0,ddos
UDP,1331,0.0,88.0,ddos
UDP,1094,0.0,88.0,ddos
UDP,1116,0.0,88.0,ddos
UDP,1262,0.0,88.0,ddos
UDP,1365,0.0,88.0,ddos
UDP,1012,0.0,88.0,ddos
UDP,1301,0.0,88.0,ddos
UDP,1427,0.0,88.0,ddos
UDP,1276,0.0,88.0,ddos
UDP,1478,0.0,88.0,ddos
UDP,1414,0.0,88.0,ddos
UDP,1103,0.0,88.0,ddos
UDP,1121,0.0,88.0,ddos
UDP,1384,0.0,88.0,ddos
UDP,1497,0.0,88.0,ddos
UDP,1268,0.0,88.0,ddos
UDP,1017,0.0,88.0,ddos
UDP,1412,0.0,88.0,ddos
UDP,1280,0.0,88.0,ddos
UDP,1294,0.0,88.0,ddos
UDP,1324,0.0,88.0,ddos
UDP,1170,0.0,88.0,ddos
UDP,1430,0.0,88.0,ddos
UDP,1155,0.0,88.0,ddos
UDP,1256,0.0,88.0,ddos
UDP,1319,0.0,88.0,ddos
UDP,1044,0.0,88.0,ddos
UDP,1239,0.0,88.0,ddos
UDP,1047,0.0,88.0,ddos
UDP,1131,0.0,88.0,ddos
UDP,1391,0.0,88.0,ddos
UDP,1109,0.0,88.0,ddos
UDP,1461,0.0,88.0,ddos
UDP,1318,0.0,88.0,ddos
UDP,1393,0.0,88.0,ddos
UDP,1034,0.0,88.0,ddos
UDP,1469,0.0,88.0,ddos
UDP,1258,0.0,88.0,ddos
UDP,1007,0.0,88.0,ddos
UDP,1085,0.0,88.0,ddos
UDP,1338,0.0,88.0,ddos
UDP,1275,0.0,88.0,ddos
UDP,1202,0.0,88.0,ddos
UDP,1464,0.0,88.0,ddos
UDP,1322,0.0,88.0,ddos
UDP,1447,0.0,88.0,ddos
UDP,1251,0.0,88.0,ddos
UDP,1084,0.0,88.0,ddos
UDP,1125,0.0,88.0,ddos
UDP,1019,0.0,88.0,ddos
UDP,1338,0.0,88.0,ddos
UDP,1485,0.0,88.0,ddos
UDP,1139,0.0,88.0,ddos
UDP,1111,0.0,88.0,ddos
UDP,1077,0.0,88.0,ddos
UDP,1234,0.0,88.0,ddos
UDP,1234,0.0,88.0,ddos
UDP,1076,0.0,88.0,ddos
UDP,1299,0.0,88.0,ddos
UDP,1166,0.0,88.0,ddos
UDP,1384,0.0,88.0,ddos
UDP,1205,0.0,88.0,ddos
UDP,1176,0.0,88.0,ddos
UDP,1350,0.0,88.0,ddos
UDP,1404,0.0,88.0,ddos
UDP,1049,0.0,88.0,ddos
UDP,1269,0.0,88.0,ddos
UDP,1107,0.0,88.0,ddos
UDP,1199,0.0,88.0,ddos
UDP,1082,0.0,88.0,ddos
UDP,1226,0.0,88.0,ddos
UDP,1193,0.0,88.0,ddos
UDP,1195,0.0,88.0,ddos
UDP,1116,0.0,88.0,ddos
UDP,1396,0.0,88.0,ddos
UDP,1472,0.0,88.0,ddos
UDP,1092,0.0,88.0,ddos
UDP,1177,0.0,88.0,ddos
UDP,1306,0.0,88.0,ddos
UDP,1219,0.0,88.0,ddos
UDP,1427,0.0,88.0,ddos
UDP,1344,0.0,88.0,ddos
UDP,1441,0.0,88.0,ddos
UDP,1436,0.0,88.0,ddos
UDP,1188,0.0,88.0,ddos
UDP,1133,0.0,88.0,ddos
UDP,1122,0.0,88.0,ddos
UDP,1394,0.0,88.0,ddos
UDP,1289,0.0,88.0,ddos
UDP,1310,0.0,88.0,ddos
UDP,1252,0.0,88.0,ddos
UDP,1322,0.0,88.0,ddos
UDP,1450,25.0,88.0,ddos
UDP,1235,0.0,88.0,ddos
UDP,1438,0.0,88.0,ddos
UDP,1379,0.0,88.0,ddos
UDP,1123,0.0,88.0,ddos
UDP,1251,0.0,88.0,ddos
UDP,1487,0.0,88.0,ddos
UDP,1103,0.0,88.0,ddos
UDP,1389,0.0,88.0,ddos
UDP,1243,0.0,88.0,ddos
UDP,1388,0.0,88.0,ddos
UDP,1015,0.0,88.0,ddos
UDP,1111,0.0,88.0,ddos
UDP,1260,0.0,88.0,ddos
UDP,1182,0.0,88.0,ddos
UDP,1344,0.0,88.0,ddos
UDP,1483,0.0,88.0,ddos
UDP,1058,0.0,88.0,ddos
UDP,1405,0.0,88.0,ddos
UDP,1024,0.0,88.0,ddos
UDP,1100,0.0,88.0,ddos
UDP,1091,0.0,88.0,ddos
UDP,1063,0.0,88.0,ddos
UDP,1297,0.0,88.0,ddos
UDP,1129,0.0,88.0,ddos
UDP,1321,0.0,88.0,ddos
UDP,1045,0.0,88.0,ddos
UDP,1273,0.0,88.0,ddos
UDP,1138,0.0,88.0,ddos
UDP,1290,0.0,88.0,ddos
UDP,1098,0.0,88.0,ddos
UDP,1444,0.0,88.0,ddos
UDP,1180,0.0,88.0,ddos
UDP,1029,0.0,88.0,ddos
UDP,1142,0.0,88.0,ddos
UDP,1234,0.0,88.0,ddos
UDP,1065,0.0,88.0,ddos
UDP,1425,0.0,88.0,ddos
UDP,1275,0.0,88.0,ddos
UDP,1234,0.0,88.0,ddos
UDP,1270,0.0,88.0,ddos
UDP,1253,0.0,88.0,ddos
UDP,1312,0.0,88.0,ddos
UDP,1241,0.0,88.0,ddos
UDP,1339,0.0,88.0,ddos
UDP,1394,0.0,88.0,ddos
UDP,1244,0.0,88.0,ddos
UDP,1198,0.0,88.0,ddos
UDP,1062,0.0,88.0,ddos
UDP,1358,0.0,88.0,ddos
UDP,1454,0.0,88.0,ddos
UDP,1024,0.0,88.0,ddos
UDP,1400,25.0,88.0,ddos
UDP,1381,0.0,88.0,ddos
UDP,1263,50.0,88.0,ddos
UDP,1004,0.0,87.9,ddos
UDP,1328,0.0,87.9,ddos
UDP,1096,0.0,87.9,ddos
UDP,1331,0.0,87.9,ddos
UDP,1096,0.0,87.9,ddos
UDP,1260,0.0,87.9,ddos
UDP,1472,0.0,87.9,ddos
UDP,1291,0.0,88.0,ddos
UDP,1066,0.0,88.0,ddos
UDP,1150,0.0,88.0,ddos
UDP,1383,0.0,88.0,ddos
UDP,1331,0.0,88.0,ddos
UDP,1020,0.0,88.0,ddos
UDP,1464,0.0,88.0,ddos
UDP,1426,0.0,88.0,ddos
UDP,1230,0.0,88.0,ddos
UDP,1309,0.0,88.0,ddos
UDP,1144,0.0,88.0,ddos
UDP,1450,0.0,88.0,ddos
UDP,1166,0.0,88.0,ddos
UDP,1479,0.0,88.0,ddos
UDP,1255,0.0,88.0,ddos
UDP,1349,0.0,88.0,ddos
UDP,1345,0.0,88.0,ddos
UDP,1325,0.0,88.0,ddos
UDP,1357,0.0,88.0,ddos
UDP,1122,0.0,88.0,ddos
UDP,1441,0.0,88.0,ddos
UDP,1301,0.0,88.0,ddos
UDP,1211,0.0,88.0,ddos
UDP,1120,0.0,88.0,ddos
UDP,1267,0.0,88.0,ddos
UDP,1444,0.0,88.0,ddos
UDP,1347,0.0,88.0,ddos
UDP,1264,0.0,88.0,ddos
UDP,1042,0.0,88.0,ddos
UDP,1431,0.0,88.0,ddos
UDP,1387,25.0,88.0,ddos
UDP,1369,0.0,88.0,ddos
UDP,1230,0.0,88.0,ddos
UDP,1264,0.0,88.0,ddos
UDP,1491,0.0,88.0,ddos
UDP,1110,0.0,88.0,ddos
UDP,1329,0.0,88.0,ddos
UDP,1152,0.0,88.0,ddos
UDP,1457,0.0,88.0,ddos
UDP,1097,0.0,88.0,ddos
UDP,1427,0.0,88.0,ddos
UDP,1438,0.0,88.0,ddos
UDP,1093,0.0,88.0,ddos
UDP,1113,0.0,88.0,ddos
UDP,1371,25.0,88.0,ddos
UDP,1428,0.0,88.0,ddos
UDP,1009,0.0,88.0,ddos
UDP,1294,0.0,88.0,ddos
UDP,1331,0.0,88.0,ddos
UDP,1177,0.0,88.0,ddos
UDP,1427,0.0,88.0,ddos
UDP,1494,0.0,88.0,ddos
UDP,1118,0.0,88.0,ddos
UDP,1036,0.0,88.0,ddos
UDP,1128,0.0,88.0,ddos
UDP,1002,0.0,88.0,ddos
UDP,1109,0.0,88.0,ddos
UDP,1111,0.0,88.0,ddos
UDP,1087,0.0,88.0,ddos
UDP,1144,0.0,88.0,ddos
UDP,1421,0.0,88.0,ddos
UDP,1060,0.0,88.0,ddos
UDP,1067,0.0,88.0,ddos
UDP,1442,0.0,88.0,ddos
UDP,1173,0.0,88.0,ddos
UDP,1406,0.0,88.0,ddos
UDP,1209,0.0,88.0,ddos
UDP,1139,0.0,88.0,ddos
UDP,1134,0.0,88.0,ddos
UDP,1119,0.0,88.0,ddos
UDP,1347,0.0,88.0,ddos
UDP,1264,0.0,88.0,ddos
UDP,1229,0.0,88.0,ddos
UDP,1057,0.0,88.0,ddos
UDP,1296,0.0,88.0,ddos
UDP,1156,0.0,88.0,ddos
UDP,1273,0.0,88.0,ddos
UDP,1302,0.0,88.0,ddos
UDP,1385,0.0,88.0,ddos
UDP,1205,0.0,88.0,ddos
UDP,1464,0.0,88.0,ddos
UDP,1428,0.0,88.0,ddos
UDP,1343,0.0,88.0,ddos
UDP,1098,0.0,88.0,ddos
UDP,1081,0.0,88.0,ddos
UDP,1302,0.0,88.0,ddos
UDP,1391,0.0,88.0,ddos
UDP,1028,0.0,88.0,ddos
UDP,1231,0.0,88.0,ddos
UDP,1243,0.0,88.0,ddos
UDP,1292,0.0,88.0,ddos
UDP,1102,0.0,88.0,ddos
UDP,1239,0.0,88.0,ddos
UDP,1158,0.0,88.0,ddos
UDP,1102,0.0,88.0,ddos
UDP,1113,0.0,88.0,ddos
UDP,1223,0.0,88.0,ddos
UDP,1110,0.0,88.0,ddos
UDP,1402,0.0,88.0,ddos
UDP,1317,0.0,88.0,ddos
UDP,1441,0.0,88.0,ddos
UDP,1169,0.0,88.0,ddos
UDP,1459,0.0,88.0,ddos
UDP,1482,0.0,88.0,ddos
UDP,1352,0.0,88.0,ddos
UDP,1447,0.0,88.0,ddos
UDP,1066,0.0,88.0,ddos
UDP,1109,0.0,88.0,ddos
UDP,1289,0.0,88.0,ddos
UDP,1084,0.0,88.0,ddos
UDP,1272,0.0,88.0,ddos
UDP,1103,0.0,88.0,ddos
UDP,1216,0.0,88.0,ddos
UDP,1203,0.0,88.0,ddos
UDP,1012,0.0,88.0,ddos
UDP,1411,0.0,88.0,ddos
UDP,1279,0.0,88.0,ddos
UDP,1026,0.0,88.0,ddos
UDP,1118,0.0,88.0,ddos
UDP,1371,0.0,88.0,ddos
UDP,1057,0.0,88.0,ddos
UDP,1005,0.0,88.0,ddos
UDP,1130,0.0,88.0,ddos
UDP,1099,0.0,88.0,ddos
UDP,1404,0.0,88.0,ddos
UDP,1289,0.0,88.0,ddos
UDP,1341,0.0,88.0,ddos
UDP,1334,0.0,88.0,ddos
UDP,1012,25.0,88.0,ddos
UDP,1474,0.0,88.0,ddos
UDP,1203,0.0,88.0,ddos
UDP,1006,0.0,88.0,ddos
UDP,1361,0.0,88.0,ddos
UDP,1171,0.0,88.0,ddos
UDP,1008,0.0,88.0,ddos
UDP,1260,0.0,88.0,ddos
UDP,1174,25.0,88.0,ddos
UDP,1314,0.0,88.0,ddos
UDP,1496,0.0,88.0,ddos
UDP,1484,0.0,88.0,ddos
UDP,1186,0.0,88.0,ddos
UDP,1398,0.0,88.0,ddos
UDP,1083,0.0,88.0,ddos
UDP,1153,0.0,88.0,ddos
UDP,1063,0.0,88.0,ddos
UDP,1444,0.0,88.0,ddos
UDP,1297,0.0,88.0,ddos
UDP,1283,0.0,88.0,ddos
UDP,1279,100.0,88.1,ddos
UDP,1119,0.0,88.1,ddos
UDP,1285,0.0,88.2,ddos
UDP,1049,25.0,88.4,ddos
UDP,1405,0.0,88.4,ddos
UDP,1273,0.0,88.4,ddos
UDP,1068,0.0,88.4,ddos
UDP,1207,33.3,88.4,ddos
UDP,1266,0.0,88.4,ddos
UDP,1074,0.0,88.4,ddos
UDP,1493,0.0,88.4,ddos
UDP,1388,0.0,88.4,ddos
UDP,1223,0.0,88.4,ddos
UDP,1088,0.0,88.4,ddos
TCP,816,0.0,88.4,data_integrity
TCP,490,0.0,88.4,data_integrity
TCP,809,0.0,88.4,data_integrity
TCP,83,0.0,88.4,data_integrity
TCP,138,0.0,88.4,data_integrity
TCP,855,0.0,88.4,data_integrity
TCP,506,0.0,88.4,data_integrity
TCP,859,0.0,88.4,data_integrity
TCP,537,0.0,88.4,data_integrity
TCP,289,0.0,88.4,data_integrity
TCP,189,0.0,88.4,data_integrity
TCP,822,0.0,88.4,data_integrity
TCP,230,0.0,88.4,data_integrity
TCP,981,0.0,88.4,data_integrity
TCP,604,0.0,88.4,data_integrity
TCP,992,0.0,88.4,data_integrity
TCP,653,0.0,88.4,data_integrity
TCP,831,0.0,88.4,data_integrity
TCP,714,33.3,88.4,data_integrity
TCP,539,0.0,88.4,data_integrity
TCP,863,0.0,88.4,data_integrity
TCP,262,0.0,88.4,data_integrity
